Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
FST	Balochi	Yoruba			593124	0.1354	0.1354	9.8880e-4	136.94021415162823
FST	Basque	Adygei			593124	1.8790e-2	1.8790e-2	4.0141e-4	46.810358341103225
FST	Basque	Balochi			593124	3.0306e-2	3.0306e-2	4.7646e-4	63.605316002483136
FST	Basque	Basque			593124	0.0000	0.0000	0.0000	NaN
FST	Basque	BedouinA			593124	2.1953e-2	2.1953e-2	3.6693e-4	59.828991198998594
FST	Basque	BedouinB			593124	4.1884e-2	4.1883e-2	6.4531e-4	64.90459302353221
FST	Basque	Biaka			593124	0.1838	0.1838	1.3242e-3	138.78258407694267
FST	Basque	Brahui			593124	3.2146e-2	3.2146e-2	5.0767e-4	63.320808891890564
FST	Basque	Burusho			593124	3.6590e-2	3.6590e-2	5.0971e-4	71.78496261122793
FST	Basque	Druze			593124	2.1682e-2	2.1682e-2	3.6618e-4	59.210778918715704
FST	Basque	French			593124	7.0705e-3	7.0705e-3	2.5128e-4	28.137466102844463
FST	Basque	Han			593124	0.1187	0.1187	1.1783e-3	100.71525242578521
FST	Basque	Hazara			593124	4.7774e-2	4.7775e-2	7.5690e-4	63.11868158094191
FST	Basque	Italian_North			593124	8.2095e-3	8.2094e-3	2.7255e-4	30.12057946611103
FST	Basque	Japanese			593124	0.1207	0.1207	1.1064e-3	109.09543694937632
FST	Basque	Kalash			593124	5.4977e-2	5.4977e-2	8.4410e-4	65.13073109666237
FST	Basque	Karitiana			593124	0.2185	0.2185	1.9556e-3	111.75146523118512
FST	Basque	Makrani			593124	3.0367e-2	3.0366e-2	4.8925e-4	62.06708966268767
FST	Basque	Mandenka			593124	0.1561	0.1561	1.1081e-3	140.83159799709145
FST	Basque	Mayan			593124	0.1373	0.1373	1.7175e-3	79.95474339303773
FST	Basque	Mozabite			593124	3.7211e-2	3.7211e-2	5.8785e-4	63.30007275277773
FST	Basque	Orcadian			593124	1.1678e-2	1.1678e-2	3.9542e-4	29.53188310376967
FST	Basque	Palestinian			593124	2.0788e-2	2.0788e-2	3.5752e-4	58.14608533171936
FST	Basque	Papuan			593124	0.1993	0.1993	1.7407e-3	114.46937114000195
FST	Basque	Pathan			593124	2.8343e-2	2.8343e-2	4.3872e-4	64.60266293313842
FST	Basque	Pima			593124	0.1778	0.1778	1.9426e-3	91.55005044303506
FST	Basque	Russian			593124	1.4385e-2	1.4385e-2	3.0981e-4	46.43104071316534
FST	Basque	Sardinian			593124	1.3624e-2	1.3624e-2	3.2120e-4	42.41754086547089
FST	Basque	Sindhi_Pakistan			593124	3.3596e-2	3.3596e-2	5.9982e-4	56.0098827711643
FST	Basque	Yakut			593124	0.1054	0.1054	1.1962e-3	88.10756478623804
FST	Basque	Yoruba			593124	0.1571	0.1571	1.0886e-3	144.31808529090492
FST	BedouinA	Adygei			593124	1.3017e-2	1.3017e-2	2.9647e-4	43.90737238689979
FST	BedouinA	Balochi			593124	1.7795e-2	1.7796e-2	3.4561e-4	51.49003706009391
FST	BedouinA	Basque			593124	2.1953e-2	2.1953e-2	3.6693e-4	59.828991198998594
FST	BedouinA	BedouinA			593124	0.0000	0.0000	0.0000	NaN
FST	BedouinA	BedouinB			593124	1.8710e-2	1.8709e-2	4.8241e-4	38.78345663361563
FST	BedouinA	Biaka			593124	0.1461	0.1461	1.2313e-3	118.65775282589829
FST	BedouinA	Brahui			593124	1.9196e-2	1.9196e-2	3.4084e-4	56.32143617990519
FST	BedouinA	Burusho			593124	2.6446e-2	2.6446e-2	3.9544e-4	66.87716965552025
FST	BedouinA	Druze			593124	9.5845e-3	9.5845e-3	1.8794e-4	50.997186513247435
FST	BedouinA	French			593124	1.4619e-2	1.4619e-2	2.4446e-4	59.800999879082475
FST	BedouinA	Han			593124	0.1040	0.1040	1.0597e-3	98.11458234774331
FST	BedouinA	Hazara			593124	3.8026e-2	3.8026e-2	6.4882e-4	58.60794837563991
FST	BedouinA	Italian_North			593124	1.0985e-2	1.0985e-2	2.6201e-4	41.92556388517363
FST	BedouinA	Japanese			593124	0.1060	0.1060	9.9798e-4	106.23729860839731
FST	BedouinA	Kalash			593124	4.5831e-2	4.5831e-2	6.9434e-4	66.00639371622702
FST	BedouinA	Karitiana			593124	0.2072	0.2072	1.9383e-3	106.92560376287881
FST	BedouinA	Makrani			593124	1.6452e-2	1.6452e-2	3.1634e-4	52.00794798275506
FST	BedouinA	Mandenka			593124	0.1173	0.1173	1.0605e-3	110.57749141977214
FST	BedouinA	Mayan			593124	0.1275	0.1275	1.6279e-3	78.33100425540896
FST	BedouinA	Mozabite			593124	1.9700e-2	1.9700e-2	3.6992e-4	53.255761486440605
FST	BedouinA	Orcadian			593124	2.0483e-2	2.0483e-2	4.1082e-4	49.85787993902164
FST	BedouinA	Palestinian			593124	5.6412e-3	5.6412e-3	1.7279e-4	32.64732364091112
FST	BedouinA	Papuan			593124	0.1813	0.1813	1.7236e-3	105.1582938771036
FST	BedouinA	Pathan			593124	1.9097e-2	1.9097e-2	3.5186e-4	54.275156428435515
FST	BedouinA	Pima			593124	0.1672	0.1672	1.8172e-3	92.00360680870838
FST	BedouinA	Russian			593124	2.0877e-2	2.0877e-2	3.3808e-4	61.751661581884804
FST	BedouinA	Sardinian			593124	1.7508e-2	1.7508e-2	3.0139e-4	58.08999984886452
FST	BedouinA	Sindhi_Pakistan			593124	2.2474e-2	2.2474e-2	4.6375e-4	48.46180694202131
FST	BedouinA	Yakut			593124	9.3719e-2	9.3719e-2	1.1271e-3	83.15217467343537
FST	BedouinA	Yoruba			593124	0.1179	0.1179	1.0479e-3	112.54059091094238
FST	BedouinB	Adygei			593124	3.3455e-2	3.3454e-2	5.7648e-4	58.03217592610529
FST	BedouinB	Balochi			593124	3.8749e-2	3.8749e-2	6.3984e-4	60.55956143601577
FST	BedouinB	Basque			593124	4.1884e-2	4.1883e-2	6.4531e-4	64.90459302353221
FST	BedouinB	BedouinA			593124	1.8710e-2	1.8709e-2	4.8241e-4	38.78345663361563
FST	BedouinB	BedouinB			593124	0.0000	0.0000	0.0000	NaN
FST	BedouinB	Biaka			593124	0.1717	0.1717	1.4359e-3	119.54602714431549
FST	BedouinB	Brahui			593124	4.0314e-2	4.0314e-2	6.1531e-4	65.51772515841334
FST	BedouinB	Burusho			593124	4.8497e-2	4.8497e-2	6.2380e-4	77.74486179091585
FST	BedouinB	Druze			593124	2.6865e-2	2.6865e-2	4.8902e-4	54.936908926707666
FST	BedouinB	French			593124	3.5040e-2	3.5040e-2	5.6156e-4	62.397395793959625
FST	BedouinB	Han			593124	0.1261	0.1261	1.1799e-3	106.90616813292807
FST	BedouinB	Hazara			593124	5.9935e-2	5.9935e-2	8.3195e-4	72.04119362681683
FST	BedouinB	Italian_North			593124	3.0876e-2	3.0876e-2	5.3809e-4	57.380857595020274
FST	BedouinB	Japanese			593124	0.1285	0.1285	1.1603e-3	110.74699278972928
FST	BedouinB	Kalash			593124	6.7906e-2	6.7906e-2	9.3548e-4	72.58941710390283
FST	BedouinB	Karitiana			593124	0.2304	0.2304	2.0341e-3	113.25902533639295
FST	BedouinB	Makrani			593124	3.6821e-2	3.6821e-2	6.0783e-4	60.57713568737752
FST	BedouinB	Mandenka			593124	0.1432	0.1432	1.2737e-3	112.42706909934641
FST	BedouinB	Mayan			593124	0.1507	0.1507	1.6313e-3	92.35491002779894
FST	BedouinB	Mozabite			593124	3.8968e-2	3.8968e-2	6.3459e-4	61.40573021642536
FST	BedouinB	Orcadian			593124	4.1308e-2	4.1307e-2	6.8134e-4	60.626799295756435
FST	BedouinB	Palestinian			593124	2.2139e-2	2.2139e-2	4.2773e-4	51.75874667393736
FST	BedouinB	Papuan			593124	0.2033	0.2033	1.8882e-3	107.65022001548334
FST	BedouinB	Pathan			593124	4.0929e-2	4.0929e-2	6.4946e-4	63.019836236572104
FST	BedouinB	Pima			593124	0.1904	0.1904	1.8092e-3	105.21677830900425
FST	BedouinB	Russian			593124	4.2706e-2	4.2706e-2	6.4961e-4	65.74073129872907
FST	BedouinB	Sardinian			593124	3.6756e-2	3.6756e-2	5.7448e-4	63.98091719716157
FST	BedouinB	Sindhi_Pakistan			593124	4.4331e-2	4.4331e-2	7.1961e-4	61.6041897569058
FST	BedouinB	Yakut			593124	0.1165	0.1165	1.2551e-3	92.85000465554197
FST	BedouinB	Yoruba			593124	0.1439	0.1439	1.2247e-3	117.49081870468423
FST	Biaka	Adygei			593124	0.1716	0.1716	1.2185e-3	140.85275693678508
